KMHOK,ATLASBLOK,KM,grid_id,centroid,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024,NDVI_2025,NDVI_2026,centroid_x,centroid_y,label
163731,1637,31,0,POINT (6.210545520986347 52.82188325378897),0.12040557712316513,0.10577833652496338,0.0794406458735466,0.1334068328142166,0.0823117345571518,0.10854503512382507,0.10338733345270157,210500.00016666565,537500.000488498,210 - 537
163733,1637,33,1,POINT (6.24021230129988 52.82167465128618),0.7986442446708679,0.8341140151023865,0.7853635549545288,0.8592607975006104,0.856630802154541,0.8292737603187561,0.897022008895874,212500.0001684363,537500.0004884609,212 - 537
163644,1636,44,2,POINT (6.180715421730686 52.813098560614876),0.8613951206207275,0.8372576832771301,0.8259568810462952,0.8146835565567017,0.7570511102676392,0.864745020866394,0.8531177639961243,208500.00016491156,536500.0004879864,208 - 536
163634,1636,34,3,POINT (6.1808784217823005 52.82208447508419),0.7461638450622559,0.745718240737915,0.7176976203918457,0.768023669719696,0.7492727041244507,0.5361901521682739,0.5070821642875671,208500.00016489395,537500.0004885329,208 - 537
163741,1637,41,4,POINT (6.210376430764841 52.81289739234487),0.4992503821849823,0.5433279275894165,0.5156084895133972,0.4186222553253174,0.5542430877685547,0.2869166135787964,0.26731738448143005,210500.00016668308,536500.0004879505,210 - 536
163635,1636,35,5,POINT (6.1957120105280055 52.8219847870977),0.8691896200180054,0.858013927936554,0.8231896758079529,0.7893030643463135,0.833448052406311,0.8520112037658691,0.9183982014656067,209500.0001657794,537500.000488515,209 - 537
163645,1636,45,6,POINT (6.195545965364236 52.81299889889793),0.5738657116889954,0.673758864402771,0.651359498500824,0.7382645606994629,0.7495750784873962,0.612815260887146,0.6802629828453064,209500.00016579768,536500.0004879683,209 - 536
163742,1637,42,7,POINT (6.225206816498213 52.812794040975994),0.5317460298538208,0.5667420625686646,0.5328466892242432,0.5630252361297607,0.6147986650466919,0.5306859016418457,0.562254786491394,211500.00016756833,536500.0004879336,211 - 536
163732,1637,32,8,POINT (6.225378951722046 52.821779875178244),0.7144384980201721,0.6295620203018188,0.42592859268188477,0.6454081535339355,0.7023780345916748,0.4482323229312897,0.3974452614784241,211500.00016755093,537500.0004884797,211 - 537
163743,1637,43,9,POINT (6.240037121130136 52.812688844811944),0.7494581937789917,0.7774193286895752,0.733620285987854,0.804809033870697,0.8183776140213013,0.7186424136161804,0.721420407295227,212500.00016845486,536500.0004879162,212 - 536
163734,1637,34,10,POINT (6.255045568284661 52.821567582133795),0.8481166362762451,0.8496195673942566,0.4369630515575409,0.5780590772628784,0.7584423422813416,0.371552973985672,0.7572349309921265,213500.00016932117,537500.0004884438,213 - 537
163744,1637,44,11,POINT (6.254867343226407 52.8125818038737),0.7479387521743774,0.7823697328567505,0.755119800567627,0.7943925261497498,0.7955271601676941,0.7009690999984741,0.7538148760795593,213500.00016934096,536500.0004878977,213 - 536
163745,1637,45,12,POINT (6.269697481352886 52.812472918182635),0.7609391808509827,0.7753304243087769,0.75837641954422,0.7963737845420837,0.822857141494751,0.6840039491653442,0.7400000095367432,214500.00017022525,536500.0004878797,214 - 536
163735,1637,35,13,POINT (6.269878751241273 52.82145866774247),0.6236391663551331,0.732300877571106,0.6127628684043884,0.6911898255348206,0.7147934436798096,0.6410009860992432,0.780570924282074,214500.0001702067,537500.0004884256,214 - 537
163841,1638,41,14,POINT (6.284527534075543 52.81236218776052),0.7652812004089355,0.7556561231613159,0.7634730339050293,0.7660008072853088,0.7979981899261475,0.7303844094276428,0.7620081901550293,215500.00017111131,536500.0004878615,215 - 536
163831,1638,31,15,POINT (6.284711848734628 52.82134790813399),0.8053339123725891,0.8546074628829956,0.8028045296669006,0.7540106773376465,0.7990068793296814,0.8089864253997803,0.8629024028778076,215500.0001710916,537500.0004884063,215 - 537
163842,1638,42,16,POINT (6.299357499960307 52.812249612629444),0.8638297915458679,0.7845296859741211,0.7945876121520996,0.7842617034912109,0.8609230518341064,0.8475644588470459,0.8811709880828857,216500.0001719962,536500.0004878412,216 - 536
163832,1638,32,17,POINT (6.299544859329737 52.82123530333045),0.8209542632102966,0.7964625954627991,0.7788958549499512,0.747543454170227,0.7943262457847595,0.8217270374298096,0.8727290034294128,216500.00017197648,537500.0004883851,216 - 537
163834,1638,34,18,POINT (6.329210614085362 52.82100455822856),0.4814108610153198,0.5693950057029724,0.46291980147361755,0.4624159038066864,0.5199108719825745,0.5468659996986389,0.3065481185913086,218500.00017374658,537500.0004883449,218 - 537
163843,1638,43,19,POINT (6.3141873775732495 52.81213519281185),0.8871103525161743,0.8433539271354675,0.8033199906349182,0.846024751663208,0.8425031304359436,0.8578118085861206,0.8537853956222534,217500.00017288176,536500.0004878205,217 - 536
163833,1638,33,20,POINT (6.314377781591613 52.82112085335436),0.8730224967002869,0.8717591166496277,0.8047410249710083,0.8368055820465088,0.8718309998512268,0.802935004234314,0.8855646848678589,217500.00017286174,537500.0004883646,217 - 537
163844,1638,44,21,POINT (6.329017165480444 52.81201892833065),0.8030006289482117,0.8171466588973999,0.7873948216438293,0.8424769043922424,0.8315467238426208,0.7454798221588135,0.8019770383834839,218500.00017376625,536500.0004877998,218 - 536
163845,1638,45,22,POINT (6.343846862248072 52.811900819209036),0.8109380602836609,0.8367043733596802,0.8060082197189331,0.8125894069671631,0.8317200541496277,0.7894737124443054,0.7901134490966797,219500.00017465305,536500.0004877793,219 - 536
163835,1638,35,23,POINT (6.344043355376137 52.82088641797631),0.842201828956604,0.8444833755493164,0.748251736164093,0.8255565762519836,0.8711937665939331,0.7094767689704895,0.6796098351478577,219500.0001746303,537500.0004883268,219 - 537
161712,1617,12,24,POINT (6.2274509209060716 52.92960812279558),0.877204179763794,0.5775712728500366,0.6254136562347412,0.3922204077243805,0.6542056202888489,0.7567110061645508,0.8982144594192505,211500.00016732933,549500.0004949677,211 - 549
163624,1636,24,25,POINT (6.1810414986859525 52.83107036738668),-0.20087336003780365,-0.25798526406288147,-0.21676892042160034,-0.0833333358168602,-0.06976744532585144,-0.026239067316055298,-0.13149847090244293,208500.00016487663,538500.0004890768,208 - 538
163614,1636,14,26,POINT (6.1812046524950786 52.840056237413215),0.7912772297859192,0.7656044960021973,0.7192429304122925,0.7407035231590271,0.8067120909690857,0.6800661087036133,0.7045422196388245,208500.00016485903,539500.0004896207,208 - 539
162654,1626,54,27,POINT (6.181367883263205 52.849042085054634),0.7951690554618835,0.823972761631012,0.7876747846603394,0.8084483742713928,0.8273859024047852,0.7833413481712341,0.8005033135414124,208500.0001648426,540500.000490166,208 - 540
162644,1626,44,28,POINT (6.181531191043877 52.85802791020175),0.7108225226402283,0.6743220686912537,0.6555256247520447,0.7397540807723999,0.7881960868835449,0.7519841194152832,0.7903441786766052,208500.00016482445,541500.0004907097,208 - 541
162634,1626,34,29,POINT (6.181694575890726 52.86701371274543),0.4972222149372101,0.3986116051673889,0.6104221940040588,0.5441081523895264,0.5372993350028992,0.5136338472366333,0.3136988878250122,208500.0001648072,542500.0004912517,208 - 542
162624,1626,24,30,POINT (6.181858037857404 52.87599949257648),0.5577130317687988,0.556114912033081,0.43689703941345215,0.4342948794364929,0.49776357412338257,0.31425514817237854,0.5993150472640991,208500.00016478868,543500.0004917933,208 - 543
162614,1626,14,31,POINT (6.182021576997643 52.884985249585796),0.7920966744422913,0.8477734327316284,0.8279821872711182,0.8413407802581787,0.8303674459457397,0.8355981111526489,0.8843110799789429,208500.0001647723,544500.0004923325,208 - 544
161654,1616,54,32,POINT (6.182185193365172 52.893970983664175),0.70923912525177,0.6725829839706421,0.7110337018966675,0.5587888360023499,0.7119815945625305,0.6830117106437683,0.5454394221305847,208500.00016475402,545500.000492871,208 - 545
161644,1616,44,33,POINT (6.1823488870138466 52.9029566947025),0.6712849736213684,0.7208757996559143,0.6788648366928101,0.7115749716758728,0.6800377368927002,0.6780303120613098,0.7616003751754761,208500.000164737,546500.0004934098,208 - 546
162635,1626,35,34,POINT (6.196543411747118 52.866913893249254),0.8051839470863342,0.7959011197090149,0.7411662936210632,0.7990323901176453,0.8345478177070618,0.7035225033760071,0.7672373652458191,209500.00016569102,542500.0004912349,209 - 542
162751,1627,51,35,POINT (6.211053270208543 52.84884070455295),0.7675639986991882,0.8165997266769409,0.6808404326438904,0.8006116151809692,0.8503649830818176,0.6276363730430603,0.6396109461784363,210500.00016661076,540500.0004901318,210 - 540
163615,1636,15,36,POINT (6.1960443357720605 52.83995649685528),0.8711264133453369,0.8583583235740662,0.7763515114784241,0.8746543526649475,0.8270936012268066,0.8133094906806946,0.8988590836524963,209500.00016574445,539500.0004896023,209 - 539
163625,1636,25,37,POINT (6.195878133979123 52.83097065311987),0.7808650135993958,0.7213989496231079,0.6980354189872742,0.8126232624053955,0.7597367167472839,0.6644822955131531,0.4046511650085449,209500.00016576226,538500.0004890583,209 - 538
163721,1637,21,38,POINT (6.21071469093048 52.83086909304444),0.5553686618804932,0.4339419901371002,0.35980552434921265,0.875386655330658,0.8090270161628723,0.8407188057899475,0.8929929137229919,210500.0001666472,538500.0004890416,210 - 538
163711,1637,11,39,POINT (6.210883940652714 52.83985491000216),0.8173950910568237,0.733548104763031,0.7306122183799744,0.7490196228027344,0.7573022842407227,0.6627592444419861,0.7730114459991455,210500.00016662938,539500.0004895864,210 - 539
162645,1626,45,40,POINT (6.196376974601466 52.85792811702917),0.8058405518531799,0.8310242891311646,0.7870292663574219,0.8505555391311646,0.8765133023262024,0.7367088794708252,0.7672797441482544,209500.00016570854,541500.0004906936,209 - 541
162655,1626,55,41,POINT (6.196210615961321 52.84894231819478),0.7145110368728638,0.41108018159866333,0.4440016448497772,0.577384352684021,0.6815328598022461,0.6669260859489441,0.40163278579711914,209500.00016572652,540500.0004901489,209 - 540
162741,1627,41,42,POINT (6.211222679653556 52.85782647658758),0.5338456034660339,0.591130793094635,0.5609509348869324,0.5167421102523804,0.616425096988678,0.5489891171455383,0.6170974969863892,210500.00016659338,541500.0004906742,210 - 541
162731,1627,31,43,POINT (6.211392169043339 52.86681222599692),0.9007833003997803,0.8558498620986938,0.841255784034729,0.8280346989631653,0.756686806678772,0.8526633977890015,0.9191655516624451,210500.00016657484,542500.0004912149,210 - 542
162752,1627,52,44,POINT (6.225895844566607 52.848737244149454),0.886679470539093,0.8530398607254028,0.8270958662033081,0.5345607995986938,0.6296969652175903,0.3522198796272278,0.3151586353778839,211500.00016749566,540500.0004901146,211 - 540
163712,1637,12,45,POINT (6.225723465699754 52.83975147687415),0.7877038717269897,0.6187771558761597,0.4712643623352051,0.7197416424751282,0.7067563533782959,0.6342592835426331,0.5379259586334229,211500.00016751414,539500.0004895709,211 - 539
163722,1637,22,46,POINT (6.225551168103744 52.83076568718068),0.8270227313041687,0.7991807460784912,0.703645646572113,0.5905383229255676,0.8102189898490906,0.6817806959152222,0.7623481750488281,211500.0001675329,538500.0004890254,211 - 538
162732,1627,32,47,POINT (6.226240846339116 52.866708711008854),0.6115305423736572,0.6473063826560974,0.6103140115737915,0.6937639117240906,0.8005082607269287,0.6320541501045227,0.6355620622634888,211500.00016745928,542500.0004911972,211 - 542
162742,1627,42,48,POINT (6.22606830476085 52.857722988897414),0.8344736099243164,0.8362773060798645,0.6916502118110657,0.7342773675918579,0.8294912576675415,0.6568830013275146,0.7383880615234375,211500.00016747732,541500.0004906557,211 - 541
161741,1617,41,49,POINT (6.212070927164441 52.90275499519792),0.8065551519393921,0.8366705179214478,0.7545257210731506,0.49211356043815613,0.6515513062477112,0.38664373755455017,0.5014592409133911,210500.00016650243,546500.0004933745,210 - 546
162711,1627,11,50,POINT (6.211731387879998 52.884783656503046),0.7872585654258728,0.8216789364814758,0.7928499579429626,0.7871502041816711,0.7771151661872864,0.7666874527931213,0.640802800655365,210500.00016653916,544500.0004922985,210 - 544
162625,1626,25,51,POINT (6.196709927452945 52.87589964674591),0.534432590007782,0.45550307631492615,0.5708933472633362,0.7438639402389526,0.5687606334686279,0.41429516673088074,0.6532891988754272,209500.00016567367,543500.0004917763,209 - 543
162615,1626,15,52,POINT (6.196876521773637 52.88488537740995),0.5013927817344666,0.49243515729904175,0.38259756565093994,0.5277207493782043,0.809152364730835,0.36673930287361145,0.3162307143211365,209500.00016565545,544500.0004923161,209 - 544
162721,1627,21,53,POINT (6.211561738433579 52.875797952671796),0.80784010887146,0.834430456161499,0.8114721179008484,0.8151571154594421,0.8211635947227478,0.7654321193695068,0.7767288088798523,210500.0001665567,543500.0004917566,210 - 543
161645,1616,45,54,POINT (6.197209946478809 52.90285676980362),0.8892794251441956,0.8753734230995178,0.8295838832855225,0.7984640598297119,0.8044548630714417,0.8405582308769226,0.9145566821098328,209500.00016561957,546500.0004933923,209 - 546
161655,1616,55,55,POINT (6.197043194763997 52.89387108513224),0.8573501706123352,0.8587102890014648,0.7951229810714722,0.8355704545974731,0.7807058691978455,0.43165239691734314,0.6403015851974487,209500.0001656376,545500.0004928546,209 - 545
161751,1617,51,56,POINT (6.211901117438328 52.89376933738146),0.7657413482666016,0.7261847853660583,0.7693687677383423,0.8055727481842041,0.809394121170044,0.6197655200958252,0.7199570536613464,210500.0001665203,545500.0004928377,210 - 545
162712,1627,12,57,POINT (6.226586173874386 52.88468008688544),0.7806379199028015,0.7849045991897583,0.7874423861503601,0.7850899696350098,0.7966285943984985,0.7472841739654541,0.7350757122039795,211500.00016742147,544500.0004922792,211 - 544
162722,1627,22,58,POINT (6.226413469358049 52.87569441037458),0.7748031616210938,0.7735922336578369,0.7348455190658569,0.760831892490387,0.8232380747795105,0.6912650465965271,0.7492343187332153,211500.00016744027,543500.0004917387,211 - 543
161742,1617,42,59,POINT (6.226931827626433 52.902651370905815),0.5400057435035706,0.58957439661026,0.5263557434082031,0.5528500080108643,0.6874635815620422,0.3982398211956024,0.43293899297714233,211500.00016738498,546500.0004933563,211 - 546
